date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2020-01-02,3324,5117283,1129150977,222.5,224.5,218.0,218.0,-2.0,3444
2020-01-03,3324,8952172,1892103620,220.0,220.5,205.0,206.5,-11.5,6148
2020-01-06,3324,6328819,1269707518,200.5,204.0,198.0,199.0,-7.5,4301
2020-01-07,3324,10761900,2069173900,201.0,201.0,189.0,189.5,-9.5,7166
2020-01-08,3324,6381868,1193008848,185.0,192.0,181.0,189.5,0.0,4231
2020-01-09,3324,3785741,724242013,193.0,193.5,189.5,191.0,1.5,2571
2020-01-10,3324,3957677,742019630,189.5,190.5,186.0,186.5,-4.5,2761
2020-01-13,3324,3387740,647891580,188.0,194.0,188.0,190.0,3.5,2588
2020-01-14,3324,1820911,349802145,191.0,193.5,190.5,193.5,3.5,1461
2020-01-15,3324,2521858,483478802,194.0,194.5,190.0,190.0,-3.5,1792
2020-01-16,3324,1826743,345800039,189.5,191.5,188.0,188.5,-1.5,1334
2020-01-17,3324,2046575,386196750,189.5,191.0,187.0,187.5,-1.0,1348
2020-01-20,3324,2514584,469134792,187.5,188.5,185.5,186.0,-1.5,1691
2020-01-30,3324,6799369,1143953301,167.5,172.0,167.5,167.5,-18.5,3639
2020-01-31,3324,4065774,673891484,171.0,172.0,162.0,164.0,-3.5,2942
2020-02-03,3324,6616217,1018726088,154.5,162.5,148.0,159.5,-4.5,4385
2020-02-04,3324,2917879,478067349,163.0,167.0,161.5,165.5,6.0,2133
2020-02-05,3324,4602428,740539980,165.0,167.0,157.0,157.0,-8.5,3316
2020-02-06,3324,7379646,1226502612,159.5,172.5,158.5,171.0,14.0,4985
2020-02-07,3324,4310140,710826600,167.5,167.5,162.0,162.0,-9.0,3379
2020-02-10,3324,4578586,726490346,156.0,163.5,153.5,158.0,-4.0,3397
2020-02-11,3324,4601419,752829554,160.5,166.0,160.5,163.0,5.0,3469
2020-02-12,3324,4482574,745723932,161.5,169.0,161.5,167.0,4.0,3345
2020-02-13,3324,10715378,1861687138,167.5,178.5,167.5,170.0,3.0,7845
2020-02-14,3324,3738254,638318942,171.5,172.5,168.5,171.0,1.0,2775
2020-02-17,3324,2826588,475130960,168.5,171.0,166.0,167.0,-4.0,2097
2020-02-18,3324,2274471,382730356,166.0,171.0,166.0,167.0,0.0,1805
2020-02-19,3324,2342706,395041020,169.0,171.0,166.5,168.0,1.0,1684
2020-02-20,3324,2890857,492178833,169.5,172.0,168.5,168.5,0.5,2188
2020-02-21,3324,2053906,343793802,169.0,170.0,166.0,166.0,-2.5,1538
2020-02-24,3324,2145793,348183638,161.5,164.5,160.5,163.0,-3.0,1618
2020-02-25,3324,3864826,637528442,161.0,168.5,158.5,166.0,3.0,2942
2020-02-26,3324,10872414,1869120991,164.5,175.0,164.5,170.0,4.0,7812
2020-02-27,3324,8361432,1406701058,173.0,174.0,161.0,161.0,-9.0,5794
2020-03-02,3324,3943621,634379265,155.0,165.0,155.0,163.5,2.5,2909
2020-03-03,3324,3405367,567004970,169.0,169.0,163.0,163.0,-0.5,2410
2020-03-04,3324,2071778,336117870,164.5,164.5,160.5,162.5,-0.5,1589
2020-03-05,3324,5177897,865770299,165.5,169.5,165.0,165.0,2.5,3568
2020-03-06,3324,2473264,409745588,164.0,168.0,163.0,167.0,2.0,1810
2020-03-09,3324,3917000,632418500,163.0,166.0,158.0,158.0,-9.0,2758
2020-03-10,3324,4938000,785689000,156.0,165.0,155.0,165.0,7.0,3530
2020-03-11,3324,4934363,791398491,163.0,165.5,154.5,155.5,-9.5,3511
2020-03-12,3324,8200889,1178841282,154.0,154.0,140.0,140.0,-15.5,5295
2020-03-13,3324,5818065,739055015,128.0,130.5,126.0,128.5,-11.5,3594
2020-03-16,3324,6446657,798736026,130.0,133.0,116.0,116.0,-12.5,4406
2020-03-17,3324,8971155,991478655,108.0,117.0,105.0,106.0,-10.0,5732
2020-03-18,3324,12910142,1452994607,110.0,116.5,108.0,111.5,5.5,7861
2020-03-19,3324,27013773,2946841899,111.5,116.0,101.0,107.5,-4.0,18005
2020-03-20,3324,10539865,1208506570,115.5,117.0,111.0,116.0,8.5,7151
2020-03-23,3324,5695350,620444000,110.0,112.0,105.5,109.0,-7.0,3603
2020-03-24,3324,6032961,702330904,114.0,119.0,114.0,117.0,8.0,4098
2020-03-25,3324,8662017,1049982625,122.0,124.5,117.0,119.5,2.5,5997
2020-03-26,3324,7915416,964467248,120.0,127.5,116.0,127.0,7.5,5598
2020-03-27,3324,9610259,1235988375,130.5,134.0,121.0,123.0,-4.0,6761
2020-03-30,3324,6414750,798392115,120.0,128.0,119.0,127.0,4.0,4631
2020-03-31,3324,5252860,668192580,129.5,131.0,124.0,127.5,0.5,3852
2020-04-01,3324,3704552,474005208,127.0,129.5,126.0,129.0,1.5,2600
